"Index","Version","ClassName","Buggy"
"1","4.0.0","BenchBookie.java","NO"
"1","4.0.0","BenchBookie.java","NO"
"1","4.0.0","BenchBookie.java","NO"
"1","4.0.0","BenchBookie.java","NO"
"1","4.0.0","BenchBookie.java","NO"
"1","4.0.0","BenchBookie.java","NO"
"1","4.0.0","BenchReadThroughputLatency.java","NO"
"1","4.0.0","BenchReadThroughputLatency.java","NO"
"1","4.0.0","BenchReadThroughputLatency.java","NO"
"1","4.0.0","BenchReadThroughputLatency.java","NO"
"1","4.0.0","BenchReadThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","BenchThroughputLatency.java","NO"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","TestClient.java","SI"
"1","4.0.0","TestClient.java","SI"
"1","4.0.0","TestClient.java","NO"
"1","4.0.0","TestClient.java","NO"
"1","4.0.0","TestClient.java","NO"
"1","4.0.0","TestClient.java","SI"
"1","4.0.0","TestClient.java","SI"
"1","4.0.0","TestClient.java","NO"
"1","4.0.0","TestBenchmark.java","NO"
"1","4.0.0","TestBenchmark.java","NO"
"1","4.0.0","TestBenchmark.java","NO"
"1","4.0.0","TestBenchmark.java","NO"
"1","4.0.0","TestBenchmark.java","NO"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","MathUtils.java","SI"
"1","4.0.0","MathUtils.java","NO"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","ReflectionUtils.java","NO"
"1","4.0.0","ReflectionUtils.java","NO"
"1","4.0.0","SafeRunnable.java","SI"
"1","4.0.0","SafeRunnable.java","SI"
"1","4.0.0","MathUtils.java","SI"
"1","4.0.0","MathUtils.java","NO"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","package-info.java","SI"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","SI"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","Bookie.java","NO"
"1","4.0.0","BookieCriticalThread.java","NO"
"1","4.0.0","BookieException.java","SI"
"1","4.0.0","BookieException.java","SI"
"1","4.0.0","BookieException.java","NO"
"1","4.0.0","BookieException.java","SI"
"1","4.0.0","BookieException.java","NO"
"1","4.0.0","BookieException.java","NO"
"1","4.0.0","BookieException.java","NO"
